Questions,Answers
What is the common cold?,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way."
What is hypertension?,"Hypertension, also known as high blood pressure, is a condition in which the blood pressure in the arteries is persistently elevated."
What is the function of the heart?,"The heart is a muscle that pumps blood throughout the body, supplying oxygen and nutrients to the tissues and removing carbon dioxide and other wastes."
What is insulin?,Insulin is a hormone made by the pancreas that allows your body to use sugar (glucose) from carbohydrates in the food that you eat for energy or to store glucose for future use.
What is an antibiotic?,Antibiotics are medicines used to prevent and treat bacterial infections.
How does a vaccine work?,Vaccines work by stimulating the body's immune system to protect against infectious diseases.
What is asthma?,"Asthma is a condition in which your airways narrow and swell and produce extra mucus, which can make breathing difficult."
What is diabetes?,Diabetes is a chronic condition that affects how your body turns food into energy.
What is a migraine?,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head, often accompanied by nausea, vomiting, and extreme sensitivity to light and sound."
What is anemia?,Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.
What is a vegetarian diet?,"A vegetarian diet is a diet that does not include meat, fish, and poultry. However, there are variations of the vegetarian diet, some of which allow dairy, eggs, and other animal products."
What is a virus?,A virus is a small infectious agent that replicates only inside the living cells of an organism. Viruses can infect all types of life forms.
What is vitamin D?,Vitamin D is a nutrient essential for healthy bones and immune system function. It's produced by the body in response to skin being exposed to sunlight.
What is a wart?,"A wart is a small, fleshy bump on the skin or mucous membrane caused by human papillomavirus (HPV)."
What is a white blood cell?,"White blood cells, also known as leukocytes, are cells of the immune system that protect the body against both infectious diseases and foreign invaders."
What is a X-ray?,"An X-ray is a quick, painless test that produces images of the structures inside your body, particularly your bones."
What is yoga?,"Yoga is a physical, mental, and spiritual practice that originated in ancient India. It often involves meditation, exercise, and breathing techniques."
What is a zoonosis?,"Zoonosis refers to diseases that can be passed from animals to humans. These can be caused by viruses, bacteria, parasites, and fungi."
What is an allergen?,An allergen is a typically harmless substance that causes an allergic reaction in some people.
What is alopecia?,"Alopecia refers to hair loss from parts of the head or body. The condition can vary from small, localized areas to complete loss of body hair."
